timesteps,reward
18,17.0
19,17.0
20,17.0
21,17.0
22,17.0
23,17.0
24,17.0
25,17.0
26,17.0
27,17.0
28,17.0
29,17.0
30,17.0
31,17.0
32,17.0
33,17.0
34,17.0
35,17.0
36,17.0
37,17.0
38,20.0
39,20.0
40,20.0
41,20.0
42,20.0
43,20.0
44,20.0
45,20.0
46,20.0
47,20.0
48,20.0
49,20.0
50,20.0
51,20.0
52,20.0
53,20.0
54,20.0
55,20.0
56,20.0
57,20.0
58,20.0
59,20.0
60,20.0
61,20.0
62,20.0
63,20.0
64,20.0
65,20.0
66,20.0
67,20.0
68,20.0
69,20.0
70,20.0
71,20.0
72,20.0
73,20.0
74,20.0
75,20.0
76,20.0
77,20.0
78,20.0
79,20.0
80,20.0
81,20.0
82,20.0
83,20.0
84,20.0
85,20.0
86,20.0
87,20.0
88,20.0
89,20.0
90,20.0
91,20.0
92,20.0
93,20.0
94,20.0
95,20.0
96,20.0
97,20.0
98,20.0
99,20.0
100,20.0
101,20.0
102,20.0
103,20.0
104,20.0
105,20.0
106,20.0
107,20.0
108,20.0
109,20.0
110,20.0
111,20.0
112,20.0
113,20.0
114,20.0
115,20.0
116,20.0
117,20.0
118,20.0
119,20.0
120,20.0
121,20.0
122,44.0
123,44.0
124,44.0
125,44.0
126,44.0
127,44.0
128,44.0
129,44.0
130,44.0
131,44.0
132,44.0
133,44.0
134,44.0
135,44.0
136,44.0
137,44.0
138,44.0
139,44.0
140,44.0
141,44.0
142,44.0
143,44.0
144,44.0
145,44.0
146,44.0
147,25.0
148,25.0
149,25.0
150,25.0
151,25.0
152,25.0
153,25.0
154,25.0
155,25.0
156,25.0
157,25.0
158,25.0
159,25.0
160,25.0
161,25.0
162,25.0
163,25.0
164,25.0
165,25.0
166,25.0
167,25.0
168,25.0
169,25.0
170,25.0
171,25.0
172,25.0
173,25.0
174,25.0
175,25.0
176,25.0
177,25.0
178,25.0
179,25.0
180,25.0
181,25.0
182,25.0
183,25.0
184,25.0
185,25.0
186,25.0
187,25.0
188,25.0
189,25.0
190,25.0
191,25.0
192,25.0
193,25.0
194,25.0
195,25.0
196,25.0
197,25.0
198,25.0
199,25.0
200,25.0
201,25.0
202,25.0
203,25.0
204,25.0
205,25.0
206,25.0
207,25.0
208,25.0
209,25.0
210,25.0
211,25.0
212,25.0
213,25.0
214,25.0
215,25.0
216,25.0
217,25.0
218,25.0
219,47.0
220,47.0
221,47.0
222,47.0
223,47.0
224,47.0
225,47.0
226,47.0
227,47.0
228,47.0
229,47.0
230,47.0
231,12.0
232,12.0
233,12.0
234,12.0
235,12.0
236,12.0
237,12.0
238,12.0
239,12.0
240,12.0
241,12.0
242,12.0
243,12.0
244,12.0
245,14.0
246,14.0
247,14.0
248,14.0
249,14.0
250,14.0
251,14.0
252,14.0
253,14.0
254,14.0
255,14.0
256,14.0
257,14.0
258,14.0
259,14.0
260,14.0
261,14.0
262,14.0
263,14.0
264,14.0
265,14.0
266,14.0
267,14.0
268,14.0
269,14.0
270,14.0
271,14.0
272,14.0
273,14.0
274,14.0
275,14.0
276,14.0
277,14.0
278,14.0
279,14.0
280,14.0
281,14.0
282,14.0
283,14.0
284,14.0
285,40.0
286,40.0
287,40.0
288,40.0
289,40.0
290,40.0
291,40.0
292,40.0
293,40.0
294,40.0
295,40.0
296,40.0
297,40.0
298,40.0
299,40.0
300,40.0
301,16.0
302,16.0
303,16.0
304,16.0
305,16.0
306,16.0
307,16.0
308,16.0
309,16.0
310,16.0
311,16.0
312,16.0
313,16.0
314,16.0
315,16.0
316,16.0
317,16.0
318,16.0
319,16.0
320,16.0
321,16.0
322,16.0
323,16.0
324,16.0
325,16.0
326,16.0
327,16.0
328,16.0
329,16.0
330,16.0
331,16.0
332,31.0
333,31.0
334,31.0
335,31.0
336,31.0
337,31.0
338,31.0
339,31.0
340,31.0
341,31.0
342,10.0
343,10.0
344,10.0
345,10.0
346,10.0
347,10.0
348,10.0
349,10.0
350,10.0
351,10.0
352,10.0
353,10.0
354,10.0
355,10.0
356,10.0
357,10.0
358,10.0
359,10.0
360,10.0
361,10.0
362,10.0
363,10.0
364,10.0
365,10.0
366,10.0
367,10.0
368,10.0
369,10.0
370,10.0
371,29.0
372,29.0
373,29.0
374,29.0
375,29.0
376,29.0
377,29.0
378,29.0
379,29.0
380,29.0
381,29.0
382,29.0
383,29.0
384,29.0
385,29.0
386,29.0
387,29.0
388,29.0
389,29.0
390,29.0
391,29.0
392,29.0
393,29.0
394,29.0
395,29.0
396,29.0
397,29.0
398,29.0
399,29.0
400,29.0
401,29.0
402,29.0
403,29.0
404,29.0
405,29.0
406,29.0
407,29.0
408,29.0
409,9.0
410,9.0
411,9.0
412,9.0
413,9.0
414,9.0
415,9.0
416,9.0
417,9.0
418,9.0
419,9.0
420,9.0
421,9.0
422,9.0
423,9.0
424,9.0
425,9.0
426,9.0
427,9.0
428,9.0
429,9.0
430,9.0
431,9.0
432,9.0
433,9.0
434,9.0
435,9.0
436,9.0
437,9.0
438,9.0
439,9.0
440,9.0
441,9.0
442,9.0
443,9.0
444,9.0
445,9.0
446,9.0
447,9.0
448,9.0
449,9.0
450,9.0
451,9.0
452,9.0
453,9.0
454,45.0
455,45.0
456,45.0
457,45.0
458,45.0
459,45.0
460,45.0
461,45.0
462,45.0
463,45.0
464,45.0
465,11.0
466,11.0
467,11.0
468,11.0
469,11.0
470,11.0
471,11.0
472,11.0
473,11.0
474,11.0
475,11.0
476,11.0
477,11.0
478,11.0
479,11.0
480,11.0
481,11.0
482,11.0
483,11.0
484,11.0
485,11.0
486,11.0
487,11.0
488,11.0
489,11.0
490,11.0
491,11.0
492,27.0
493,27.0
494,27.0
495,27.0
496,27.0
497,27.0
498,27.0
499,27.0
500,27.0
501,27.0
502,27.0
503,27.0
504,27.0
505,27.0
506,27.0
507,27.0
508,27.0
509,27.0
510,27.0
511,27.0
512,27.0
513,27.0
514,27.0
515,27.0
516,27.0
517,27.0
518,27.0
519,27.0
520,27.0
521,27.0
522,27.0
523,27.0
524,27.0
525,27.0
526,27.0
527,27.0
528,27.0
529,37.0
530,37.0
531,37.0
532,37.0
533,37.0
534,37.0
535,37.0
536,37.0
537,37.0
538,37.0
539,37.0
540,37.0
541,37.0
542,37.0
543,37.0
544,37.0
545,37.0
546,37.0
547,18.0
548,18.0
549,18.0
550,18.0
551,18.0
552,18.0
553,18.0
554,18.0
555,18.0
556,18.0
557,18.0
558,18.0
559,18.0
560,13.0
561,13.0
562,13.0
563,13.0
564,13.0
565,13.0
566,13.0
567,13.0
568,13.0
569,13.0
570,13.0
571,13.0
572,13.0
573,13.0
574,13.0
575,13.0
576,13.0
577,13.0
578,18.0
579,18.0
580,18.0
581,18.0
582,18.0
583,18.0
584,18.0
585,18.0
586,18.0
587,18.0
588,18.0
589,18.0
590,18.0
591,18.0
592,18.0
593,18.0
594,18.0
595,18.0
596,18.0
597,18.0
598,18.0
599,18.0
600,18.0
601,18.0
602,18.0
603,18.0
604,18.0
605,18.0
606,18.0
607,18.0
608,18.0
609,18.0
610,18.0
611,18.0
612,18.0
613,35.0
614,35.0
615,35.0
616,35.0
617,35.0
618,35.0
619,35.0
620,35.0
621,35.0
622,35.0
623,35.0
624,35.0
625,35.0
626,35.0
627,35.0
628,35.0
629,35.0
630,35.0
631,35.0
632,35.0
633,35.0
634,35.0
635,35.0
636,35.0
637,35.0
638,35.0
639,35.0
640,35.0
641,35.0
642,35.0
643,35.0
644,35.0
645,35.0
646,35.0
647,35.0
648,35.0
649,36.0
650,36.0
651,36.0
652,36.0
653,36.0
654,36.0
655,36.0
656,36.0
657,36.0
658,36.0
659,36.0
660,36.0
661,36.0
662,36.0
663,36.0
664,36.0
665,36.0
666,36.0
667,18.0
668,18.0
669,18.0
670,18.0
671,18.0
672,18.0
673,18.0
674,18.0
675,18.0
676,18.0
677,18.0
678,18.0
679,18.0
680,18.0
681,14.0
682,14.0
683,14.0
684,14.0
685,14.0
686,14.0
687,14.0
688,14.0
689,14.0
690,14.0
691,14.0
692,14.0
693,14.0
694,14.0
695,14.0
696,14.0
697,14.0
698,14.0
699,14.0
700,14.0
701,14.0
702,14.0
703,14.0
704,14.0
705,14.0
706,14.0
707,14.0
708,14.0
709,14.0
710,14.0
711,14.0
712,14.0
713,14.0
714,14.0
715,14.0
716,14.0
717,14.0
718,37.0
719,37.0
720,37.0
721,37.0
722,37.0
723,37.0
724,37.0
725,37.0
726,37.0
727,37.0
728,37.0
729,37.0
730,37.0
731,37.0
732,37.0
733,37.0
734,37.0
735,37.0
736,37.0
737,37.0
738,37.0
739,37.0
740,37.0
741,37.0
